Value Added by Industry
Value Added by Industry
"Last Revised on: December 21, 2023"
20,"            Electrical equipment, appliances, and components",59.8,59.5,59.9,59.8,59.4,59.6,60.4,60.7,61.3,55.6,56.7,56.9,57.1,56.2,56.2,58.4,60.8,62.5,64.0,65.5,67.6,69.8,70.2
21,"            Motor vehicles, bodies and trailers, and parts",160.6,159.4,163.0,161.4,161.0,161.8,162.6,161.9,148.8,87.7,172.8,161.6,150.2,139.3,129.6,135.8,142.4,154.1,163.5,165.7,173.7,188.1,188.3
22,"            Other transportation equipment",157.5,155.7,159.3,165.0,168.5,166.6,164.9,162.1,157.7,133.6,144.1,140.2,140.8,153.1,155.9,157.2,162.0,164.6,175.2,190.1,188.9,206.7,206.6
23,"            Furniture and related products",29.7,29.9,30.0,30.1,30.3,30.4,30.4,30.4,30.4,27.5,29.4,30.6,28.6,28.4,29.8,30.5,30.8,31.0,31.5,31.7,31.2,30.9,30.9
24,"            Miscellaneous manufacturing",91.5,91.6,92.0,91.3,91.0,91.5,91.4,91.6,87.4,86.5,95.4,98.2,100.6,95.2,95.9,104.2,105.3,106.3,108.7,109.1,110.7,114.4,118.7
25,"        Nondurable goods",1009.2,1028.2,1036.2,1043.5,992.5,1002.9,1011.2,1015.5,977.4,890.8,955.3,970.4,1017.5,1060.7,1115.7,1190.9,1208.2,1250.2,1236.3,1276.7,1258.1,1237.1,1306.0
26,"            Food and beverage and tobacco products",274.5,271.8,269.4,266.1,264.9,269.4,278.0,278.0,277.6,282.9,297.4,300.4,305.5,293.9,307.4,317.3,308.4,303.2,312.5,323.3,338.3,331.7,341.6
27,"            Textile mills and textile product mills",16.6,16.5,16.6,16.5,16.7,16.7,16.7,16.6,16.7,14.0,16.0,16.7,16.5,16.3,16.4,16.9,17.2,17.4,17.6,17.5,17.4,17.0,17.5
28,"            Apparel and leather and allied products",9.4,9.4,9.3,9.1,9.1,9.3,9.7,10.4,10.3,8.8,9.8,9.2,9.7,9.9,10.1,10.3,9.9,10.3,10.5,10.8,11.0,10.7,10.5
29,"            Paper products",58.5,60.1,60.9,61.6,61.5,62.4,63.5,63.4,64.0,63.4,65.8,66.4,63.7,62.1,65.8,66.8,68.6,70.1,67.8,70.1,71.7,71.2,70.1
30,"            Printing and related support activities",41.6,41.4,41.4,41.6,41.3,41.5,41.8,41.5,40.1,33.4,35.2,37.0,38.3,38.5,38.5,39.9,40.7,41.5,42.9,43.9,44.1,44.5,44.1
31,"            Petroleum and coal products",140.8,149.2,156.8,170.2,139.7,148.6,141.1,143.3,102.9,30.0,52.7,55.6,100.6,127.5,144.7,161.2,182.4,222.7,199.1,195.6,181.7,169.8,210.1
32,"            Chemical products",388.0,399.7,400.6,396.4,376.4,370.4,374.8,376.4,381.4,382.5,397.4,405.3,406.3,438.0,454.0,491.9,492.0,495.6,495.0,522.9,502.8,501.4,515.1
33,"            Plastics and rubber products",79.8,80.1,81.2,82.1,83.0,84.6,85.5,86.0,84.3,75.7,81.0,79.7,76.9,74.3,78.8,86.5,89.0,89.4,90.8,92.6,91.1,90.7,97.1
34,"    Wholesale trade",1202.3,1211.4,1226.0,1248.8,1272.9,1281.3,1311.2,1318.2,1321.4,1188.2,1343.8,1346.3,1368.7,1404.0,1424.0,1465.8,1519.3,1537.9,1554.4,1575.7,1592.9,1596.6,1624.4
35,"    Retail trade",1212.5,1223.5,1228.8,1229.4,1248.3,1269.4,1296.3,1295.4,1289.1,1232.7,1427.8,1392.8,1481.1,1549.3,1522.2,1587.1,1577.4,1600.9,1629.6,1676.2,1704.5,1715.1,1759.2
36,"        Motor vehicle and parts dealers",240.9,243.0,244.9,247.7,254.0,259.5,262.6,257.3,238.1,230.7,282.5,273.4,302.1,334.8,318.0,349.2,346.4,354.2,342.7,351.8,357.7,363.5,372.2
37,"        Food and beverage stores",164.6,164.0,164.4,164.4,165.2,167.0,170.9,172.6,185.5,193.1,197.6,189.4,195.2,198.5,198.7,208.8,209.0,209.8,216.5,225.6,229.4,230.8,238.7
38,"        General merchandise stores",155.8,157.1,156.8,157.6,158.6,160.9,163.2,164.5,164.1,155.7,176.7,165.8,178.9,186.9,189.4,190.0,199.0,192.5,205.0,200.8,208.4,212.3,218.8
39,"        Other retail",651.3,659.3,662.8,659.7,670.5,682.0,699.6,701.1,701.5,653.2,771.1,764.2,804.9,829.1,816.0,839.1,823.1,844.4,865.5,898.0,909.1,908.6,929.5
40,"    Transportation and warehousing",665.9,672.9,679.6,690.7,695.6,702.9,717.4,718.2,708.6,566.9,625.7,648.6,698.3,751.6,801.3,853.8,880.5,910.6,940.4,950.6,967.6,976.7,962.7
41,"        Air transportation",132.0,130.3,130.0,132.2,132.9,137.2,144.0,146.5,137.7,40.6,38.1,38.9,65.4,94.7,114.2,125.9,126.4,148.2,163.8,169.6,180.7,193.3,179.1
42,"        Rail transportation",45.4,46.7,47.1,47.4,47.0,47.3,46.5,43.9,43.8,38.7,41.3,42.9,43.3,44.5,44.9,48.0,48.8,51.2,52.9,53.0,52.4,50.0,49.4
43,"        Water transportation",15.1,15.8,15.9,15.8,15.8,15.6,15.4,15.3,15.6,11.6,11.3,12.5,12.5,15.2,17.5,21.1,20.8,21.2,22.3,19.7,19.5,20.5,21.5
44,"        Truck transportation",187.5,190.6,192.0,195.6,194.3,197.1,199.7,198.1,197.2,178.8,203.9,205.3,213.0,223.9,228.9,248.1,256.7,263.2,264.8,268.3,269.7,265.0,260.5
45,"        Transit and ground passenger transportation",44.1,44.9,46.8,48.4,54.3,52.2,53.3,52.6,49.9,32.3,36.5,40.5,39.9,44.4,50.0,51.3,53.3,55.0,57.6,61.9,62.9,63.8,66.8
46,"        Pipeline transportation",44.7,43.8,44.8,42.8,40.3,38.8,38.5,38.0,38.2,36.2,39.3,40.0,46.8,43.3,45.3,47.0,47.3,49.7,50.2,52.0,53.2,53.2,52.6
47,"        Other transportation and support activities",130.8,132.9,133.8,137.4,140.7,141.9,146.1,147.5,148.6,152.8,172.0,178.2,184.8,189.0,199.6,207.5,215.6,209.1,209.9,211.4,210.4,210.0,211.1
48,"        Warehousing and storage",66.2,67.8,69.4,71.1,70.4,72.9,74.0,76.2,77.4,76.0,83.3,90.3,92.7,96.6,100.9,104.8,111.6,113.0,118.8,114.7,118.9,121.1,121.6
49,"    Information",1016.0,1037.0,1052.9,1059.9,1094.3,1138.0,1162.3,1171.6,1160.1,1130.9,1194.8,1224.9,1259.5,1306.8,1331.6,1377.2,1365.1,1376.7,1400.7,1428.6,1440.2,1456.6,1496.5
50,"        Publishing industries, except internet (includes software)",240.6,243.4,250.6,251.9,268.4,276.4,283.0,285.2,290.2,294.0,309.0,316.3,328.2,339.7,343.3,350.4,344.4,354.0,358.9,375.6,383.2,381.7,396.6
51,"        Motion picture and sound recording industries",96.0,96.1,92.4,90.1,88.3,90.3,88.5,87.0,85.2,62.9,75.5,79.4,77.4,82.7,92.9,103.4,97.5,102.3,101.5,100.2,101.0,103.0,106.3
52,"        Broadcasting and telecommunications",466.8,472.7,479.0,480.2,488.7,498.6,508.5,507.3,489.5,478.4,485.8,486.3,492.4,495.0,495.1,506.6,508.6,508.9,512.8,519.6,517.2,515.0,522.6
53,"        Data processing, internet publishing, and other information services",212.6,224.8,230.9,237.6,249.0,272.7,282.3,292.1,295.3,295.5,324.5,342.9,361.5,389.4,400.3,416.8,414.6,411.5,427.4,433.2,438.9,457.0,471.1
54,"    Finance, insurance, real estate, rental, and leasing",4190.7,4245.1,4309.4,4287.9,4344.0,4412.9,4475.5,4553.8,4544.2,4498.1,4640.6,4743.1,4798.9,4916.1,5011.4,5163.3,5239.1,5291.6,5361.6,5427.2,5537.9,5588.6,5711.1
55,"        Finance and insurance",1551.5,1571.9,1608.0,1567.9,1605.4,1638.7,1651.9,1700.1,1661.5,1685.2,1709.4,1778.2,1785.5,1836.8,1861.0,1927.4,1930.6,1929.0,1940.9,1931.4,1965.7,1954.9,2004.0
56,"            Federal Reserve banks, credit intermediation, and related activities",670.7,682.2,701.3,692.2,715.7,733.6,747.2,763.2,739.1,755.9,772.6,804.8,799.5,836.9,850.0,856.4,860.7,868.7,856.3,841.2,872.0,859.3,870.7
57,"            Securities, commodity contracts, and investments",289.7,296.5,300.0,280.6,287.8,277.2,267.3,280.8,298.9,306.6,304.9,330.0,337.6,344.7,341.2,372.1,364.3,352.2,360.9,365.0,368.3,375.8,399.7
58,"            Insurance carriers and related activities",589.0,592.6,606.2,594.4,599.8,625.4,635.4,655.5,623.1,622.6,631.7,639.7,631.3,624.2,635.0,663.5,677.5,681.1,695.5,695.0,693.0,683.8,695.1
59,"            Funds, trusts, and other financial vehicles",2.1,0.7,0.5,0.6,2.2,2.4,1.9,0.5,0.4,0.2,0.1,3.7,17.0,31.0,34.8,35.4,28.1,26.9,28.2,30.2,32.4,35.9,38.5
60,"        Real estate and rental and leasing",2639.2,2673.2,2701.3,2720.0,2738.5,2774.2,2823.6,2853.7,2882.7,2812.9,2931.2,2964.9,3013.4,3079.3,3150.4,3235.8,3308.5,3362.7,3420.7,3495.9,3572.1,3633.7,3707.1
61,"            Real estate",2413.1,2446.7,2472.4,2491.1,2511.0,2537.6,2573.3,2598.7,2620.6,2606.6,2678.3,2708.0,2756.9,2804.4,2864.7,2941.8,3002.0,3049.2,3100.0,3170.4,3236.3,3295.2,3358.4
62,"                Housing",1842.9,1864.9,1887.2,1909.9,1931.3,1952.2,1973.5,1996.5,2021.5,2040.0,2060.9,2079.5,2102.3,2148.4,2180.3,2217.6,2259.2,2309.5,2367.7,2425.6,2496.9,2550.8,2599.4
63,"                Other real estate",570.2,581.8,585.1,581.3,579.7,585.4,599.9,602.3,599.1,566.6,617.4,628.6,654.7,656.0,684.4,724.2,742.8,739.8,732.4,744.8,739.4,744.5,759.0
64,"            Rental and leasing services and lessors of intangible assets",226.1,226.5,229.0,228.9,227.5,236.6,250.3,255.0,262.1,206.3,253.0,256.8,256.5,274.9,285.7,294.0,306.5,313.4,320.7,325.5,335.8,338.5,348.7
65,"    Professional and business services",2538.4,2575.6,2611.0,2631.2,2681.9,2711.7,2750.4,2767.5,2766.0,2574.3,2737.5,2825.3,2909.1,2975.5,3064.6,3173.0,3242.0,3275.5,3346.9,3393.0,3462.5,3526.5,3570.2
66,"        Professional, scientific, and technical services",1529.6,1558.5,1575.4,1584.8,1619.1,1639.1,1670.4,1681.8,1687.7,1591.7,1683.5,1724.4,1775.0,1821.0,1887.2,1943.8,1969.2,1988.0,2029.2,2067.0,2124.7,2170.1,2199.7
67,"            Legal services",272.2,277.7,279.4,279.1,282.9,285.9,295.4,295.9,289.7,277.7,285.5,298.2,312.3,311.1,322.6,327.1,331.7,330.1,326.2,327.8,332.9,337.8,338.2
68,"            Computer systems design and related services",345.4,356.2,365.5,367.1,377.5,379.7,378.5,378.6,389.2,384.1,395.8,404.2,413.5,424.9,436.9,446.5,449.6,453.8,461.4,467.3,482.6,487.7,482.8
69,"            Miscellaneous professional, scientific, and technical services",911.9,924.6,930.6,938.7,958.7,973.5,996.5,1007.3,1008.7,929.9,1002.2,1021.9,1049.1,1085.0,1127.8,1170.1,1188.0,1204.1,1241.7,1271.8,1309.3,1344.6,1378.7
70,"        Management of companies and enterprises",382.7,383.3,393.6,393.8,404.5,407.1,404.8,406.3,403.7,392.7,398.4,423.3,427.7,442.9,437.8,455.8,465.0,478.1,488.7,489.8,491.1,500.5,512.1
71,"        Administrative and waste management services",626.2,633.8,642.0,652.7,658.4,665.5,675.1,679.4,674.6,589.9,655.5,677.6,706.3,711.6,739.5,773.5,807.8,809.3,829.0,836.2,846.7,855.8,858.4
72,"            Administrative and support services",569.6,577.0,585.1,595.1,600.8,607.1,615.7,619.3,613.4,533.9,593.0,614.0,643.1,648.2,675.0,705.7,739.2,739.1,757.1,762.0,769.8,777.6,779.3
73,"            Waste management and remediation services",56.6,56.8,56.9,57.5,57.5,58.4,59.4,60.1,61.2,56.0,62.5,63.6,63.2,63.5,64.5,67.9,68.6,70.2,71.9,74.2,76.9,78.2,79.1
74,"    Educational services, health care, and social assistance",1767.0,1781.8,1797.6,1821.5,1846.3,1871.3,1898.1,1919.7,1917.2,1678.1,1937.6,1968.0,1977.0,1994.8,2029.7,2075.6,2096.9,2114.8,2171.4,2216.1,2290.5,2330.7,2368.7
75,"        Educational services",252.5,255.2,258.5,262.7,265.4,269.4,272.5,273.6,271.9,243.0,257.6,250.9,260.1,268.5,277.7,282.6,285.1,288.9,297.0,302.8,310.6,313.2,315.6
76,"        Health care and social assistance",1514.5,1526.6,1539.1,1558.8,1580.9,1601.9,1625.6,1646.1,1645.3,1435.1,1680.1,1717.2,1716.8,1726.3,1752.1,1793.0,1811.8,1825.9,1874.4,1913.3,1979.8,2017.5,2053.0
77,"            Ambulatory health care services",729.9,734.2,741.4,753.1,769.3,779.8,789.8,794.2,786.2,633.4,803.2,836.9,840.1,848.9,855.8,878.6,885.1,881.9,901.2,917.5,956.3,971.6,988.6
78,"            Hospitals",500.1,504.2,506.2,511.4,514.4,520.8,527.9,536.2,534.0,502.5,556.5,559.9,556.2,553.7,567.9,577.6,582.3,589.1,608.3,618.4,637.2,651.6,660.8
79,"            Nursing and residential care facilities",151.6,153.4,154.5,154.6,154.8,156.3,159.3,163.9,170.4,165.5,162.1,163.5,162.7,162.1,164.5,167.5,170.6,175.8,180.8,184.7,189.6,192.8,196.9
80,"            Social assistance",132.8,134.9,137.0,139.7,142.4,145.0,148.5,151.7,154.7,133.7,158.3,156.8,157.8,161.6,163.9,169.4,173.8,179.1,184.1,192.7,196.8,201.4,206.8
81,"    Arts, entertainment, recreation, accommodation, and food services",857.0,873.0,879.6,888.8,894.6,909.8,934.7,949.7,871.0,481.3,701.3,723.2,767.5,880.2,960.3,1008.6,1010.1,1061.3,1109.8,1145.3,1205.9,1222.0,1238.2
82,"        Arts, entertainment, and recreation",221.1,230.3,230.1,227.5,225.1,228.8,239.6,254.2,234.3,109.8,158.2,179.1,191.2,206.4,224.3,240.6,247.4,262.2,282.2,293.1,312.0,313.6,317.0
83,"            Performing arts, spectator sports, museums, and related activities",130.7,139.5,138.3,134.6,132.1,134.1,142.4,153.1,142.8,67.4,85.3,105.7,109.2,110.4,124.6,134.0,144.2,152.8,168.0,175.2,190.5,189.8,192.9
84,"            Amusements, gambling, and recreation industries",90.3,90.8,91.7,92.9,93.0,94.7,97.2,101.1,91.5,42.4,72.9,73.5,82.0,96.1,99.7,106.6,103.2,109.4,114.3,117.8,121.5,123.9,124.2
85,"        Accommodation and food services",635.9,642.7,649.5,661.3,669.5,681.1,695.1,695.4,636.7,371.5,543.0,544.0,576.3,673.8,736.0,767.9,762.6,799.1,827.6,852.3,893.8,908.4,921.1
86,"            Accommodation",183.6,186.0,184.3,189.2,189.2,191.9,197.4,200.3,181.7,77.9,129.3,119.5,129.7,168.3,196.9,204.6,198.8,213.3,222.2,229.0,236.4,236.1,241.2
87,"            Food services and drinking places",452.4,456.8,465.2,472.1,480.2,489.2,497.7,495.2,455.0,293.6,413.7,424.5,446.5,505.4,539.2,563.4,563.8,585.8,605.5,623.2,657.5,672.2,680.0
88,"    Other services, except government",449.6,456.1,460.3,464.6,465.9,471.5,481.6,492.0,481.5,396.1,466.3,467.5,463.5,482.0,497.6,508.0,520.1,530.7,552.5,574.5,585.0,592.7,599.3
89,Government,2521.5,2549.6,2575.3,2588.6,2594.6,2611.6,2643.8,2679.3,2727.8,2668.7,2712.3,2734.1,2755.7,2789.4,2836.7,2855.0,2887.3,2914.2,2953.5,2991.4,3040.8,3074.2,3132.7
90,"    Federal",784.8,794.2,801.6,806.5,810.8,815.6,821.6,828.0,839.1,852.9,868.9,873.9,883.5,894.5,901.5,910.4,923.9,933.1,944.9,955.8,970.6,984.4,1002.3
91,"        General government",718.8,726.9,733.9,739.3,745.5,750.7,756.2,761.3,770.5,782.2,796.7,800.4,809.4,819.8,826.7,835.9,849.2,858.6,870.0,880.4,893.4,905.5,922.5
92,"            National defense",414.1,418.5,422.5,425.2,428.6,431.8,435.2,438.8,442.8,449.4,453.0,457.8,464.4,470.2,473.4,478.4,486.0,490.2,494.6,499.0,503.9,509.5,516.9
93,"            Nondefense",304.7,308.4,311.4,314.1,316.9,318.9,321.0,322.5,327.7,332.7,343.7,342.6,345.0,349.6,353.3,357.5,363.2,368.4,375.3,381.4,389.5,396.1,405.5
94,"        Government enterprises",66.0,67.3,67.7,67.3,65.3,64.9,65.4,66.7,68.6,70.7,72.2,73.5,74.1,74.6,74.7,74.5,74.7,74.5,74.9,75.4,77.2,78.8,79.8
95,"    State and local",1736.6,1755.5,1773.8,1782.0,1783.8,1796.0,1822.2,1851.3,1888.8,1815.8,1843.4,1860.2,1872.2,1894.9,1935.2,1944.6,1963.4,1981.1,2008.7,2035.6,2070.1,2089.8,2130.4
96,"        General government",1586.8,1604.2,1622.0,1631.2,1635.4,1647.3,1670.7,1694.5,1727.1,1684.5,1712.1,1714.8,1729.1,1751.2,1788.4,1796.5,1809.2,1823.9,1848.5,1872.7,1905.0,1924.2,1961.6
97,"        Government enterprises",149.8,151.3,151.8,150.8,148.4,148.7,151.4,156.7,161.7,131.3,131.4,145.4,143.1,143.7,146.9,148.1,154.3,157.2,160.2,162.9,165.1,165.6,168.8
,"    Addenda:",,,,,,,,,,,,,,,,,,,,,,,
98,"            Private goods-producing industries1",3585.7,3633.3,3662.4,3684.7,3644.3,3677.7,3686.8,3696.5,3591.8,3158.0,3503.6,3595.8,3738.4,3871.2,3962.6,4181.6,4299.1,4478.7,4511.9,4582.6,4543.8,4545.6,4709.6
99,"            Private services-producing industries2",14221.4,14398.0,14561.0,14644.7,14865.2,15095.4,15363.7,15526.6,15386.9,14086.5,15431.7,15694.7,16106.1,16631.7,17029.7,17617.9,17842.7,18151.4,18529.1,18834.4,19229.1,19443.3,19767.8
100,"            Information-communications-technology-producing industries3",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---

Legend/Footnotes
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
Note. Detail may not add to total due to rounding.
